Donors,Purpose codes,Donors,Donor text name,Donor text name caps
African Development Fund,Reproductive Health Care and Family Planning,African Development Fund,the African Development Fund,The African Development Fund
Arab Fund (AFESD),Reproductive Health Care,Arab Fund (AFESD),Arab Fund (AFESD),The Arab Fund (AFESD)
Asian Development Bank,Family Planning,Asian Development Bank,the Asian Development Bank,The Asian Development Bank
Australia,,Australia,Australia,Australia
Austria,,Austria,Austria,Austria
Belgium,,Belgium,Belgium,Belgium
Canada,,Canada,Canada,Canada
Czech Republic,,Czech Republic,the Czech Republic,The Czech Republic
Denmark,,Denmark,Denmark,Denmark
Estonia,,Estonia,Estonia,Estonia
EU Institutions,,EU Institutions,EU Institutions,EU Institutions
Finland,,Finland,Finland,Finland
France,,France,France,France
Germany,,Germany,Germany,Germany
Global Environment Facility,,Global Environment Facility,Global Environment Facility,The Global Environment Facility
Greece,,Greece,Greece,Greece
Hungary,,Hungary,Hungary,Hungary
Iceland,,Iceland,Iceland,Iceland
Inter-American Development Bank,,Inter-American Development Bank,Inter-American Development Bank,Inter-American Development Bank
International Development Association,,International Development Association,International Development Association,International Development Association
Ireland,,Ireland,Ireland,Ireland
Islamic Development Bank,,Islamic Development Bank,the Islamic Development Bank,The Islamic Development Bank
Italy,,Italy,Italy,Italy
Japan,,Japan,Japan,Japan
Korea,,Korea,Korea,Korea
Kuwait,,Kuwait,Kuwait,Kuwait
Lithuania,,Lithuania,Lithuania,Lithuania
Luxembourg,,Luxembourg,Luxembourg,Luxembourg
Netherlands,,Netherlands,the Netherlands,The Netherlands
New Zealand,,New Zealand,New Zealand,New Zealand
Norway,,Norway,Norway,Norway
OPEC Fund for International Development,,OPEC Fund for International Development,the OPEC Fund for International Development,The OPEC Fund for International Development
Poland,,Poland,Poland,Poland
Portugal,,Portugal,Portugal,Portugal
Qatar,,Qatar,Qatar,Qatar
Romania,,Romania,Romania,Romania
Russia,,Russia,Russia,Russia
Saudi Arabia,,Saudi Arabia,Saudi Arabia,Saudi Arabia
Slovak Republic,,Slovak Republic,Slovak Republic,Slovak Republic
Slovenia,,Slovenia,Slovenia,Slovenia
Spain,,Spain,Spain,Spain
Sweden,,Sweden,Sweden,Sweden
Switzerland,,Switzerland,Switzerland,Switzerland
Thailand,,Thailand,Thailand,Thailand
Turkey,,Turkey,Turkey,Turkey
UN Peacebuilding Fund,,UN Peacebuilding Fund,UN Peacebuilding Fund,The UN Peacebuilding Fund
UNDP,,UNDP,UNDP,UNDP
UNECE,,UNECE,UNECE,UNECE
UNFPA,,UNFPA,UNFPA,UNFPA
UNICEF,,UNICEF,UNICEF,UNICEF
United Arab Emirates,,United Arab Emirates,the United Arab Emirates,The United Arab Emirates
United Kingdom,,United Kingdom,the United Kingdom,The United Kingdom
United States,,United States,the United States,The United States
World Health Organisation,,World Health Organisation,the World Health Organisation,The World Health Organisation
